15,493.254,239.147,110.485,256.836,99.87
12,1464.7,649.8,103.472,238.175,99.811
10,1840.3,638.2,104.067,231.12,101.915
112,3055.5,741.4,103.228,207.464,102.42
114,2683.686,660.03,104.431,214.89,102.352
161,1030.3,153,112.308,246.612,100.272
14,803.315,646.428,103.043,250.674,99.869
803,3350.7,255.8,112.267,202.322,102.08
808,2747.5,201,112.896,214.077,102.758
812,2055.75,108.25,113.685,227.373,102.252
817,1983.948,903.278,99.367,228.098,102.429
902,203.996,203.94,110.955,262.203,100.567
905,773.5,209.8,111.263,251.524,100.474
909,1114.3,782.2,100.86,244.703,101.539
913,488.453,733.245,101.359,256.468,101.035
